Last login: Mon May  6 19:31:25 on ttys002
  407 ??         0:00.18 /System/Library/CoreServices/Software Update.app/Conte
  408 ??         0:23.31 /System/Library/PrivateFrameworks/ViewBridge.framework
  409 ??         0:00.16 /System/Library/PrivateFrameworks/CoreSpeech.framework
  412 ??         0:00.31 /System/Library/CoreServices/SocialPushAgent.app/Conte
  415 ??         0:00.42 /usr/libexec/dmd
  416 ??         1:07.68 /System/Library/CoreServices/Siri.app/Contents/MacOS/S
  417 ??         0:00.52 /System/Library/Image Capture/Support/icdd
  419 ??         0:00.14 /Library/Application Support/Adobe/AdobeGCClient/AGMSe
  420 ??         0:32.96 /Library/Application Support/WLAN/StatusBarApp.app/Con
  421 ??         0:04.71 /System/Library/CoreServices/AirPlayUIAgent.app/Conten
  423 ??         0:07.69 /usr/libexec/knowledge-agent
  424 ??         0:04.82 /System/Library/CoreServices/cloudpaird
  426 ??         0:06.88 /System/Library/PrivateFrameworks/Noticeboard.framewor
  427 ??         0:05.47 /System/Library/CoreServices/diagnostics_agent
  428 ??         0:03.69 /usr/libexec/adprivacyd
  430 ??         0:00.62 /usr/sbin/distnoted agent
  431 ??         0:05.87 /System/Library/CoreServices/Menu Extras/TextInput.men
  432 ??         2:15.05 /Users/voduc/Library/Application Support/CleanMyMac X/
  433 ??         1:08.90 /System/Library/CoreServices/Software Update.app/Conte
  434 ??         0:00.65 /System/Library/CoreServices/Software Update.app/Conte
  436 ??         0:00.15 /System/Library/PrivateFrameworks/CommerceKit.framewor
  437 ??         0:07.57 /System/Library/PrivateFrameworks/AuthKit.framework/Ve
  440 ??         0:04.94 /System/Library/PrivateFrameworks/CoreADI.framework/ad
  441 ??         0:09.88 /System/Library/CoreServices/OSDUIHelper.app/Contents/
  444 ??         0:00.12 /usr/libexec/USBAgent
  447 ??         0:00.08 /usr/libexec/loginitemregisterd
  448 ??         0:00.02 /usr/libexec/smd
  449 ??         0:01.24 /System/Library/Frameworks/AudioToolbox.framework/Audi
  452 ??         0:00.15 /System/Library/PrivateFrameworks/CoreFollowUp.framewo
  463 ??         0:01.40 /System/Library/PrivateFrameworks/IMFoundation.framewo
  464 ??         0:02.25 /System/Library/PrivateFrameworks/IMFoundation.framewo
  490 ??         0:01.16 /System/Library/PrivateFrameworks/IMFoundation.framewo
  491 ??         0:01.46 /System/Library/PrivateFrameworks/IMFoundation.framewo
  492 ??         0:39.04 /System/Library/CoreServices/iconservicesagent runAsRo
  493 ??         0:00.53 /System/Library/CoreServices/pbs
  494 ??         0:29.20 /System/Library/CoreServices/cloudphotosd.app/Contents
  495 ??         0:01.32 /System/Library/PrivateFrameworks/CloudPhotoServices.f
  505 ??         1:08.64 /Applications/Mate Translate.app/Contents/MacOS/Mate T
  506 ??         0:00.14 /usr/libexec/spindump_agent
  508 ??         0:00.56 /System/Library/Frameworks/iTunesLibrary.framework/Ver
  509 ??         0:49.61 /System/Library/PrivateFrameworks/CacheDelete.framewor
  511 ??         0:01.09 /System/Library/PrivateFrameworks/PackageKit.framework
  512 ??         0:00.51 /usr/libexec/AssetCache/AssetCache
  513 ??         0:00.44 /System/Library/PrivateFrameworks/QuickLookThumbnailin
  514 ??         1:45.52 /System/Library/PrivateFrameworks/PackageKit.framework
  515 ??         0:01.27 /System/Library/PrivateFrameworks/CommerceKit.framewor
  516 ??         0:00.63 /usr/bin/sysdiagnose
  521 ??         0:01.46 /System/Library/Frameworks/MediaLibrary.framework/Vers
  527 ??         0:10.59 /usr/libexec/studentd
  530 ??         0:43.09 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.
  531 ??         0:00.96 /System/Library/CoreServices/ScopedBookmarkAgent
  538 ??         0:12.10 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.
  539 ??         2:43.22 /System/Library/PrivateFrameworks/PhotoAnalysis.framew
  541 ??         0:03.26 /System/Library/PrivateFrameworks/CommerceKit.framewor
  542 ??         0:02.43 /System/Library/PrivateFrameworks/AssetCacheServices.f
  543 ??         0:00.06 /System/Library/Frameworks/CoreMediaIO.framework/Versi
  544 ??         0:00.57 /usr/sbin/distnoted agent
  545 ??         0:06.68 /Library/CoreMediaIO/Plug-Ins/DAL/AppleCamera.plugin/C
  546 ??         0:00.18 /System/Library/PrivateFrameworks/CommunicationsFilter
  549 ??         0:04.55 /System/Library/PrivateFrameworks/CommerceKit.framewor
  552 ??         0:00.02 /System/Library/PrivateFrameworks/FindMyMac.framework/
  553 ??         0:00.19 /usr/libexec/nfcd
  554 ??         0:00.26 /usr/libexec/dmd
  561 ??         0:01.14 /System/Library/PrivateFrameworks/AuthKit.framework/Ve
  565 ??         0:02.78 /System/Library/PrivateFrameworks/PassKitCore.framewor
  567 ??         0:00.04 /System/Library/CoreServices/ReportCrash agent
  568 ??         0:00.60 /System/Library/PrivateFrameworks/AssistantServices.fr
  569 ??         0:00.61 /System/Library/Frameworks/iTunesLibrary.framework/Ver
